Ward,Quadrant,Quadant 2022,Quadrant 2024,Neighbourhood,GP Cluster
Beckton,South,4,South,Beckton & Royal Docks,South 2
Boleyn,Central,2,Central,Green Street,Central 1
Canning Town North,South,3,South,Custom House and Canning Town,South 1
Canning Town South,South,3,South,Custom House and Canning Town,South 1 
Custom House,South,3,South,Custom House and Canning Town,South 2
East Ham Central,East,4,East,East Ham,North East  2
East Ham North,East,2,East,Manor Park,North East  2
East Ham South,East,4,East,East Ham,Central 1
Forest Gate North,West,1,North,Forest Gate,North West 2
Forest Gate South,West,1,North,Forest Gate,North West 2
Green Street East,Central,2,Central,Green Street,North East 1
Green Street West,Central,2,Central,Green Street,Central 2
Little Ilford,East,2,East,Manor Park,North East 1
Manor Park,East,2,East,Manor Park,North East 1
Plaistow North,Central,3,Central,Plaistow,Central 2
Plaistow South,Central,3,Central,Plaistow,South 1 
Royal Docks,South,4,South,Beckton & Royal Docks,South 2
Stratford and New Town,West,1,North,Stratford and West Ham,North West 1
Wall End,East,4,East,East Ham,North East  2
West Ham,West,1,North,Stratford and West Ham,North West 1
